# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
EC35,helicopter
EC45,helicopter
EC55,helicopter
EC6,lightPiston
EC75,helicopter
ECHO,lightPiston
EDGE,lightPiston
EDGT,lightPiston
EF2,unpowered
EFAN,unpowered
EFOX,lightPiston
EFUS,unpowered
EGL3,helicopter
EGRT,turboprop
EH10,helicopter
EL10,lightPiston
EL20,lightPiston
ELA7,lightPiston
ELF,lightPiston
ELIT,regionalJet
ELPS,lightPiston
ELSP,lightPiston
ELST,lightPiston
ELTO,helicopter
ELTR,lightPiston
EM10,regionalJet
EM11,lightPiston
EN28,helicopter
EN48,helicopter
EP9,lightPiston
EPER,lightPiston
EPIC,turboprop
EPX1,lightPiston
ERAC,lightPiston
ERCO,lightPiston
ES11,helicopter
ES13,lightPiston
ESCA,turboprop
ESCP,lightPiston
ETA,lightPiston
ETAR,mediumJet
EUFI,mediumJet
EUPA,lightPiston
EURT,lightPiston
EV55,turboprop
EV97,lightPiston
EVAN,lightPiston
EVIC,regionalJet
EVOP,lightPiston
EVOT,turboprop
EVSS,lightPiston
EX5T,turboprop
EXEC,helicopter
EXEJ,helicopter
EXNG,lightPiston
EXPL,helicopter
EXPR,lightPiston
EZFL,lightPiston
EZFT,lightPiston
EZHV,lightPiston
EZKC,lightPiston
F1,mediumJet
F100,mediumJet
F104,mediumJet
F117,mediumJet
F13,lightPiston
F14,mediumJet
F15,mediumJet
F156,lightPiston
F16,mediumJet
F18,mediumJet
F18H,mediumJet
F18S,mediumJet
F1FV,lightPiston
F2,mediumJet
F22,mediumJet
F260,lightPiston
F26T,turboprop
F27,turboprop
F28,mediumJet
F2EX,regionalJet
F2LX,regionalJet
F2TH,regionalJet
F30,lightPiston
F35,mediumJet
F3F,lightPiston
F4,mediumJet
F402,turboprop
F406,turboprop
F41E,lightPiston
F421,turboprop
F5,mediumJet
F50,turboprop
